cause,icd_code,year,sex,deaths,population,crude_rate_per_100k
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2014,male,3320,23475686,14.14229173111278
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2014,female,5765,23475686,24.557322840320833
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2014,persons,9085,23475686,38.699614571433614
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2015,male,3595,23815995,15.09489735784711
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2015,female,5913,23815995,24.82785203809457
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2015,persons,9508,23815995,39.92274939594168
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2016,male,3824,24190907,15.807592497461957
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2016,female,6258,24190907,25.86922433292807
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2016,persons,10082,24190907,41.67681683039003
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2017,male,3977,24592588,16.171539164564543
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2017,female,6561,24592588,26.67877004242091
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2017,persons,10538,24592588,42.85030920698546
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2018,male,3837,24963258,15.370589848488525
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2018,female,6473,24963258,25.930108962540068
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2018,persons,10310,24963258,41.30069881102859
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2019,male,4116,25334826,16.24641116540528
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2019,female,6833,25334826,26.970779274347493
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2019,persons,10949,25334826,43.21719043975278
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2020,male,4004,25649248,15.61059411956249
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2020,female,6633,25649248,25.86040729147303
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2020,persons,10637,25649248,41.471001411035516
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2021,male,4265,25685412,16.604756038174507
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2021,female,7030,25685412,27.369621324353293
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2021,persons,11295,25685412,43.974377362527804
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2022,male,4706,26018721,18.086976681136633
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2022,female,7586,26018721,29.155929686167124
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2022,persons,12292,26018721,47.24290636730375
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2023,male,4550,26659922,17.066816624594775
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2023,female,7280,26659922,27.306906599351638
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2023,persons,11830,26659922,44.37372322394642
CHAPTER V Mental and behavioural disorders (F00-F99),F00-F99,2024,male,4970,27194286,18.275898105947697
